id,PGA,PGV,PGD,NOMBRE_SIS,NOMBRE_SENSOR,N_SIS,DIRECCION,PATH_DIR_ORG,PATH_DIR_PROCES1,DT,N_POINTS_PROCES1,CORTE1,CORTE2,PATH_DIR_PROCES2,DT_PROCES2,N_POINTS_PROCES2
546,-503.4465,-44.55547,5.24382,Northridge,LA00055P,274,N90E,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00055P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/274_N90E.T1,0.02,1928,65,1029,Registros_Sismicos_Proces2/Northridge/274_N90E.T1,0.02,964
547,713.1407,-51.11143,-6.62683,Northridge,LA00055P,274,N00E,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00055P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/274_N00E.T1,0.02,1928,65,1029,Registros_Sismicos_Proces2/Northridge/274_N00E.T1,0.02,964
548,-411.3122,117.4582,45.42647,Northridge,LA00056P,275,N46E,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00056P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/275_N46E.T1,0.02,2806,63,2140,Registros_Sismicos_Proces2/Northridge/275_N46E.T1,0.02,2077
549,-348.1771,-59.870430000000006,-19.39755,Northridge,LA00056P,275,N44W,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00056P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/275_N44W.T1,0.02,2806,63,2140,Registros_Sismicos_Proces2/Northridge/275_N44W.T1,0.02,2077
550,-389.0821,44.11164,11.23775,Northridge,LA00057P,276,N00W,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00057P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/276_N00W.T1,0.02,1553,70,1067,Registros_Sismicos_Proces2/Northridge/276_N00W.T1,0.02,997
551,446.8097,40.55492,15.026979999999998,Northridge,LA00057P,276,N90W,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00057P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/276_N90W.T1,0.02,1551,70,1067,Registros_Sismicos_Proces2/Northridge/276_N90W.T1,0.02,997
552,-151.0608,-15.46654,-3.81197,Northridge,LA00058P,277,S80W,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00058P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/277_S80W.T1,0.02,2450,49,1909,Registros_Sismicos_Proces2/Northridge/277_S80W.T1,0.02,1860
553,-127.3241,-15.06835,4.46204,Northridge,LA00058P,277,S10E,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00058P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/277_S10E.T1,0.02,2450,49,1909,Registros_Sismicos_Proces2/Northridge/277_S10E.T1,0.02,1860
554,-106.7451,10.47441,-2.77357,Northridge,LA00059P,278,N60E,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00059P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/278_N60E.T1,0.02,1873,43,1425,Registros_Sismicos_Proces2/Northridge/278_N60E.T1,0.02,1382
555,152.7593,-9.80856,-1.03518,Northridge,LA00059P,278,N30W,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00059P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/278_N30W.T1,0.02,1873,43,1425,Registros_Sismicos_Proces2/Northridge/278_N30W.T1,0.02,1382
